design,avg_us,min_us,max_us,M,K,N
mha,9435.91,8586,11932,256,768,768
mha_by_steps/only_attn_steps,8289.84,7372,10235,256,768,768
mha_by_steps/only_proj_steps,1612.93,1267,2384,256,768,768
ffn-1,1532.24,1459.00,1620.00,256,768,3072
ffn-2,1097.44,1010.00,1161.00,256,3072,768
