M,K,N,m,k,n,dtype_in,dtype_out,npu_time_us1,cpu_time_us1,npu_time_us2,cpu_time_us2,npu_time_us3,cpu_time_us3,npu_time_us4,cpu_time_us4,npu_time_us5,cpu_time_us5
512,4096,4096,64,128,64,i8,i8,7178,80296,7155,76324,7201,78621,7279,78395,7344,81334
1024,4096,4096,64,128,64,i8,i8,13258,151105,13639,137832,13684,150254,13683,151092,14036,127744
2048,4096,4096,64,128,64,i8,i8,26895,280882,28879,284178,28074,291446,28809,255692,28076,129769
4096,4096,4096,64,128,64,i8,i8,54268,600481,53995,552734,54385,528124,54146,565020,53362,501326
