M,K,N,m,k,n,dtype_in,dtype_out,npu_time_us1,cpu_time_us1,npu_time_us2,cpu_time_us2,npu_time_us3,cpu_time_us3,npu_time_us4,cpu_time_us4,npu_time_us5,cpu_time_us5
512,4048,4096,64,184,64,i8,i8,5176,5730,5139,5395,5173,5353,5156,5345,5164,5292
512,4232,4096,64,184,64,i8,i8,5375,5615,5302,5644,5329,5547,5267,5615,5363,5438
1024,4048,4096,64,184,64,i8,i8,9768,11588,9644,11662,9660,11696,9560,11562,9509,11562
1024,4232,4096,64,184,64,i8,i8,9826,11501,9732,11574,9658,11688,9591,11679,9936,11654
2048,4048,4096,64,184,64,i8,i8,17648,30500,17648,30937,17675,31296,17780,30617,17743,30520
2048,4232,4096,64,184,64,i8,i8,18119,33701,18348,33476,18621,33550,18488,33556,18432,32372
4096,4048,4096,64,184,64,i8,i8,34510,59812,34494,59702,34752,59710,34796,59848,34567,59561
4096,4232,4096,64,184,64,i8,i8,35424,62914,35984,62880,35561,62789,35715,62863,35731,62921
