design,avg_us,min_us,max_us,M,K,N
mha,10022.8,9064,11810,256,768,768
mha_by_steps/only_attn_steps,8918.2,7882,10177,256,768,768
mha_by_steps/only_proj_steps,1337.55,1157,3198,256,768,768
add_and_norm,286.56,249.00,397.00,256,768,1
ffn-1,1559.11,1434.00,1714.00,256,768,3072
ffn-2,1061.22,971.00,1146.00,256,3072,768
